City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Victoria,HK,22.2855,114.1577,72.97,89,97,18.01,overcast clouds
121,Kedougou,SN,12.5579,-12.1743,90.18,22,0,4.61,clear sky
122,Baiyin,CN,36.5583,104.2081,47.55,29,26,6.69,scattered clouds
123,Maxixe,MZ,-23.8597,35.3472,73.13,61,98,7.45,overcast clouds
124,Barrow,US,71.2906,-156.7887,-9.38,70,0,9.22,clear sky
125,Carnarvon,AU,-24.8667,113.6333,84.27,65,75,14.97,broken clouds
126,Guerrero Negro,MX,27.9769,-114.0611,59.97,84,0,15.01,clear sky
127,Thunder Bay,CA,48.4001,-89.3168,30.29,80,0,3.44,clear sky
128,Kaitangata,NZ,-46.2817,169.8464,62.04,68,56,11.39,broken clouds
129,Mar Del Plata,AR,-38.0023,-57.5575,55.87,66,0,8.05,clear sky
130,Broome,US,42.2506,-75.833,52.86,74,20,10.36,few clouds
131,Morant Bay,JM,17.8815,-76.4093,78.42,81,89,10.38,overcast clouds
132,Port-Gentil,GA,-0.7193,8.7815,81.09,78,71,12.24,light rain
133,Amethi,IN,26.15,81.8167,92.68,17,2,1.7,clear sky
134,Ambon,ID,-3.6954,128.1814,84.34,79,40,5.75,scattered clouds
135,Havre-Saint-Pierre,CA,50.2334,-63.5986,24.8,79,75,16.11,broken clouds
136,New Norfolk,AU,-42.7826,147.0587,69.93,52,100,3.94,overcast clouds
137,Bathsheba,BB,13.2167,-59.5167,77.61,78,20,19.57,few clouds
138,Lavrentiya,RU,65.5833,-171.0,-1.57,78,0,1.95,clear sky
139,Husavik,IS,66.0449,-17.3389,45.52,70,100,32.37,overcast clouds
140,Baicheng,CN,45.6167,122.8167,35.49,30,71,5.55,broken clouds
141,Fort Nelson,CA,58.8053,-122.7002,33.39,60,75,2.3,broken clouds
142,Lata,PT,40.1629,-8.3327,59.07,61,100,9.19,overcast clouds
143,Hilo,US,19.7297,-155.09,76.73,84,75,12.66,broken clouds
144,Gat,IL,31.61,34.7642,47.8,100,100,5.91,overcast clouds
145,Luena,AO,-11.7833,19.9167,60.98,97,100,2.77,overcast clouds
146,Mozarlandia,BR,-14.7447,-50.5706,73.63,85,95,1.72,overcast clouds
147,Ust-Kuyga,RU,70.0167,135.6,-3.95,87,30,8.23,scattered clouds
148,Campbell River,CA,50.0163,-125.2446,42.33,81,40,3.44,scattered clouds
149,Sechura,PE,-5.5569,-80.8222,73.24,73,100,9.86,overcast clouds
150,Saint Stephen,GB,50.3333,-4.9,48.47,76,97,20.71,overcast clouds
151,Rumoi,JP,43.9344,141.6428,33.57,69,100,12.97,light snow
152,Sola,VU,-13.8833,167.55,83.07,79,100,0.0,light intensity shower rain
153,Leningradskiy,RU,69.3833,178.4167,-3.26,83,28,1.63,scattered clouds
154,Upernavik,GL,72.7868,-56.1549,-5.13,97,100,9.06,overcast clouds
155,Ancud,CL,-41.8697,-73.8203,56.23,71,100,4.32,overcast clouds
156,Kalabo,ZM,-14.97,22.6814,64.53,98,68,4.83,broken clouds
157,Pangnirtung,CA,66.1451,-65.7125,-22.14,77,13,6.29,few clouds
158,Kruisfontein,ZA,-34.0033,24.7314,65.88,97,53,2.44,broken clouds
159,Riviere-Du-Loup,CA,47.8304,-69.5342,31.08,93,100,2.3,overcast clouds
160,Wuchi,CN,29.3786,103.023,57.76,86,77,5.7,broken clouds
161,Lagoa,PT,39.05,-27.9833,57.02,66,98,23.0,overcast clouds
162,Buraydah,SA,26.326,43.975,59.45,22,0,9.98,clear sky
163,Umm Lajj,SA,25.0213,37.2685,66.25,60,58,10.98,broken clouds
164,Iralaya,HN,15.0,-83.2333,78.3,82,96,13.62,overcast clouds
165,Andenes,NO,69.3143,16.1194,44.58,81,100,29.93,overcast clouds
166,Bambous Virieux,MU,-20.3428,57.7575,83.21,94,40,3.44,scattered clouds
167,Kathu,TH,7.9178,98.3332,85.82,93,100,7.83,overcast clouds
168,Tarabuco,BO,-19.1667,-64.9167,43.97,94,73,3.22,broken clouds
169,Laguna,US,38.421,-121.4238,57.49,79,100,8.05,overcast clouds
170,Faya,SA,18.3851,42.4509,57.31,63,1,3.96,clear sky
171,Nikolskoye,RU,59.7035,30.7861,34.88,86,0,8.7,clear sky
172,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,6.91,broken clouds
173,Samsun,TR,41.25,36.3333,34.0,88,75,10.36,light shower snow
174,Klaksvik,FO,62.2266,-6.589,47.32,79,17,28.66,few clouds
175,Ugoofaaru,MV,5.6667,73.0,83.52,71,9,14.32,clear sky
176,Bell Ville,AR,-32.6259,-62.6887,57.67,68,75,6.73,broken clouds
177,Sisimiut,GL,66.9395,-53.6735,-12.32,93,95,6.31,overcast clouds
178,Coxim,BR,-18.5067,-54.76,74.77,92,100,2.24,overcast clouds
179,Mangrol,IN,21.1167,70.1167,81.48,60,1,13.8,clear sky
180,Thompson,CA,55.7435,-97.8558,23.16,63,75,4.61,broken clouds
181,Princeton,US,25.5384,-80.4089,78.03,89,0,5.75,clear sky
182,Breves,BR,-1.6822,-50.4803,73.09,98,100,3.27,overcast clouds
183,Avera,US,33.194,-82.5271,60.31,64,97,14.05,overcast clouds
184,Consett,GB,54.854,-1.8316,40.23,90,8,6.35,clear sky
185,Tambura,SS,5.6,27.4667,76.8,32,86,3.56,overcast clouds
186,Bruck An Der Leitha,AT,48.0167,16.7667,39.67,44,0,10.36,clear sky
187,Chokurdakh,RU,70.6333,147.9167,0.19,90,100,6.31,overcast clouds
188,Solnechnyy,RU,50.7214,136.6319,24.19,85,97,5.21,light snow
189,Larsnes,NO,62.2028,5.5773,45.68,60,55,7.27,broken clouds
190,Nabire,ID,-3.3667,135.4833,86.43,66,95,5.57,overcast clouds
191,Salalah,OM,17.0151,54.0924,80.69,7,0,6.91,clear sky
192,Sioux Lookout,CA,50.1001,-91.917,32.07,86,75,0.0,broken clouds
193,Hofn,IS,64.2539,-15.2082,45.73,92,100,30.74,light rain
194,Marabba,SD,12.35,32.1833,75.31,16,7,9.06,clear sky
195,Sibolga,ID,1.7427,98.7792,85.1,65,100,2.71,overcast clouds
196,Kapaa,US,22.0752,-159.319,80.58,76,75,9.22,broken clouds
197,Lucea,JM,18.451,-78.1736,76.86,78,74,4.54,broken clouds
198,Clarksburg,US,39.2807,-80.3445,49.41,67,100,16.11,overcast clouds
199,Harper,LR,4.375,-7.7169,78.3,89,56,5.14,light rain
200,Kabare,CD,-2.4683,28.8242,59.54,94,100,1.48,overcast clouds
201,Juneau,US,58.3019,-134.4197,39.2,100,75,0.0,broken clouds
202,Saint-Leu,RE,-21.15,55.2833,76.57,88,98,14.05,moderate rain
203,Seoul,KR,37.5683,126.9778,46.0,55,40,11.5,scattered clouds
204,Oksfjord,NO,70.2396,22.3479,34.0,99,100,7.52,light snow
205,Barcelos,PT,41.5388,-8.6151,57.92,65,100,4.7,overcast clouds
206,Toamasina,MG,-18.1667,49.3833,73.4,100,75,5.75,moderate rain
207,Mamallapuram,IN,12.6264,80.1722,86.05,66,73,10.65,broken clouds
208,Aklavik,CA,68.2191,-135.0107,-13.11,95,100,5.44,overcast clouds
209,Olafsvik,IS,64.8945,-23.7142,33.28,97,100,9.75,light snow
210,Arraial Do Cabo,BR,-22.9661,-42.0278,76.3,89,28,16.82,scattered clouds
211,Dicabisagan,PH,17.0818,122.4157,84.97,71,46,5.64,scattered clouds
212,Clinton,US,42.587,-82.9199,41.9,90,100,10.0,overcast clouds
213,Cherskiy,RU,68.75,161.3,16.09,83,13,9.64,few clouds
214,Raudeberg,NO,61.9875,5.1352,44.87,47,24,16.06,few clouds
215,Lokosovo,RU,61.1333,74.8167,30.11,97,100,12.91,light snow
216,Dhidhdhoo,MV,6.8833,73.1,83.3,69,2,14.7,clear sky
217,Catuday,PH,16.2923,119.8062,83.64,69,60,4.23,broken clouds
218,Ilulissat,GL,69.2167,-51.1,-0.38,71,75,3.44,broken clouds
219,Inirida,CO,3.8653,-67.9239,72.66,93,100,1.39,overcast clouds
220,Yarim,YE,14.298,44.3779,54.72,55,0,2.66,clear sky
221,Cabo San Lucas,MX,22.8909,-109.9124,74.52,60,52,9.64,broken clouds
222,San Cristobal,VE,7.7669,-72.225,71.78,83,69,2.08,broken clouds
223,Naze,JP,28.3667,129.4833,65.32,58,40,5.28,scattered clouds
224,Mangan,IN,27.5167,88.5333,75.0,46,92,4.05,overcast clouds
225,Kangaba,ML,11.9333,-8.4167,81.18,43,60,3.04,broken clouds
226,Tighnabruaich,GB,55.9016,-5.2398,39.88,58,0,14.52,clear sky
